season,episode,scene,speaker1,speaker2,speaker_pair,num_speaker_pairs,interaction_factor
1,1,15,Phoebe Buffay,Monica Geller,Phoebe Buffay-Monica Geller,21,0.047619047619047616
1,1,15,Phoebe Buffay,#ALL#,Phoebe Buffay-#ALL#,21,0.047619047619047616
1,1,15,Phoebe Buffay,Ross Geller,Phoebe Buffay-Ross Geller,21,0.047619047619047616
1,1,15,Rachel Green,Phoebe Buffay,Rachel Green-Phoebe Buffay,21,0.047619047619047616
1,1,15,Chandler Bing,Phoebe Buffay,Chandler Bing-Phoebe Buffay,21,0.047619047619047616
1,1,15,Monica Geller,#ALL#,Monica Geller-#ALL#,21,0.047619047619047616
1,1,15,Monica Geller,Ross Geller,Monica Geller-Ross Geller,21,0.047619047619047616
1,1,15,Rachel Green,Monica Geller,Rachel Green-Monica Geller,21,0.047619047619047616
1,1,15,Chandler Bing,Monica Geller,Chandler Bing-Monica Geller,21,0.047619047619047616
1,1,15,Ross Geller,#ALL#,Ross Geller-#ALL#,21,0.047619047619047616
1,1,15,Rachel Green,#ALL#,Rachel Green-#ALL#,21,0.047619047619047616
1,1,15,Chandler Bing,#ALL#,Chandler Bing-#ALL#,21,0.047619047619047616
1,1,15,Rachel Green,Ross Geller,Rachel Green-Ross Geller,21,0.047619047619047616
1,1,15,Chandler Bing,Ross Geller,Chandler Bing-Ross Geller,21,0.047619047619047616
1,1,15,Chandler Bing,Rachel Green,Chandler Bing-Rachel Green,21,0.047619047619047616
1,2,1,Monica Geller,Joey Tribbiani,Monica Geller-Joey Tribbiani,15,0.06666666666666667
1,2,1,Phoebe Buffay,Monica Geller,Phoebe Buffay-Monica Geller,15,0.06666666666666667
1,2,1,Rachel Green,Monica Geller,Rachel Green-Monica Geller,15,0.06666666666666667
1,2,1,Chandler Bing,Monica Geller,Chandler Bing-Monica Geller,15,0.06666666666666667
1,2,1,Monica Geller,Ross Geller,Monica Geller-Ross Geller,15,0.06666666666666667
1,2,1,Phoebe Buffay,Joey Tribbiani,Phoebe Buffay-Joey Tribbiani,15,0.06666666666666667
1,2,1,Rachel Green,Joey Tribbiani,Rachel Green-Joey Tribbiani,15,0.06666666666666667
1,2,1,Chandler Bing,Joey Tribbiani,Chandler Bing-Joey Tribbiani,15,0.06666666666666667
1,2,1,Ross Geller,Joey Tribbiani,Ross Geller-Joey Tribbiani,15,0.06666666666666667
1,2,1,Rachel Green,Phoebe Buffay,Rachel Green-Phoebe Buffay,15,0.06666666666666667
1,2,1,Chandler Bing,Phoebe Buffay,Chandler Bing-Phoebe Buffay,15,0.06666666666666667
1,2,1,Phoebe Buffay,Ross Geller,Phoebe Buffay-Ross Geller,15,0.06666666666666667
1,2,1,Chandler Bing,Rachel Green,Chandler Bing-Rachel Green,15,0.06666666666666667
1,2,1,Rachel Green,Ross Geller,Rachel Green-Ross Geller,15,0.06666666666666667
1,2,1,Chandler Bing,Ross Geller,Chandler Bing-Ross Geller,15,0.06666666666666667
1,2,2,Carol Willick,Ross Geller,Carol Willick-Ross Geller,1,1.0
1,2,3,Chandler Bing,Phoebe Buffay,Chandler Bing-Phoebe Buffay,21,0.047619047619047616
1,2,3,Chandler Bing,Monica Geller,Chandler Bing-Monica Geller,21,0.047619047619047616
1,2,3,Chandler Bing,Joey Tribbiani,Chandler Bing-Joey Tribbiani,21,0.047619047619047616
1,2,3,Chandler Bing,#ALL#,Chandler Bing-#ALL#,21,0.047619047619047616
1,2,3,Chandler Bing,Rachel Green,Chandler Bing-Rachel Green,21,0.047619047619047616
1,2,3,Chandler Bing,Ross Geller,Chandler Bing-Ross Geller,21,0.047619047619047616
1,2,3,Phoebe Buffay,Monica Geller,Phoebe Buffay-Monica Geller,21,0.047619047619047616
1,2,3,Phoebe Buffay,Joey Tribbiani,Phoebe Buffay-Joey Tribbiani,21,0.047619047619047616
1,2,3,Phoebe Buffay,#ALL#,Phoebe Buffay-#ALL#,21,0.047619047619047616
1,2,3,Rachel Green,Phoebe Buffay,Rachel Green-Phoebe Buffay,21,0.047619047619047616
